Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_c,Embarked_Q,Embarked_S,Age_norm,Fare_norm
0,3,male,20.0,0,0,7.8542,S,1,0,1,0.3392857142857143,0.04763969922367585
0,1,male,46.0,1,0,61.175,S,1,0,1,0.8035714285714286,0.37105734511578137
0,3,male,26.0,1,2,20.575,S,1,0,1,0.44642857142857145,0.12479779118524237
1,1,male,23.0,0,1,63.3583,C,1,0,0,0.39285714285714285,0.384300164921115
1,2,female,34.0,0,1,23.0,S,0,0,1,0.5892857142857143,0.1395066438522758
0,2,male,34.0,1,0,26.0,S,1,0,1,0.5892857142857143,0.15770316261561612
0,3,female,28.0,0,0,7.8958,S,0,0,1,0.48214285714285715,0.04789202428386084
0,1,male,21.0,0,1,77.2875,S,1,0,1,0.35714285714285715,0.468787814640555
0,3,male,33.0,0,0,8.6542,S,1,0,1,0.5714285714285714,0.052492104227233265
0,3,male,37.0,2,0,7.925,S,1,0,1,0.6428571428571429,0.048069137066490686
0,3,male,28.0,0,0,7.8958,S,1,0,1,0.48214285714285715,0.04789202428386084
1,3,female,21.0,0,0,7.65,S,0,0,1,0.35714285714285715,0.046401122846517824
1,3,male,24.0,0,0,7.775,S,1,0,1,0.4107142857142857,0.04715931112832367
0,3,male,38.0,0,0,7.8958,S,1,0,1,0.6607142857142857,0.04789202428386084
1,3,female,24.0,1,0,24.15,Q,0,1,0,0.4107142857142857,0.14648197604488958
0,1,male,47.0,0,0,52.0,S,1,0,1,0.8214285714285714,0.31540632523123224
0,3,female,14.5,1,0,14.4542,C,0,0,0,0.24107142857142858,0.08767204050302456
0,3,male,22.0,0,0,8.05,S,1,0,1,0.375,0.048827325348296535
0,3,female,20.0,1,0,9.825,S,0,0,1,0.3392857142857143,0.05959359894993955
0,3,female,17.0,0,0,14.4583,C,0,0,0,0.2857142857142857,0.08769690907866778
0,3,male,21.0,0,0,7.925,S,1,0,1,0.35714285714285715,0.048069137066490686
0,2,male,29.0,1,0,21.0,S,1,0,1,0.5,0.12737563134338226
0,3,female,2.0,4,2,31.275,S,0,0,1,0.017857142857142856,0.18969870810782286
0,2,male,21.0,2,0,73.5,S,1,0,1,0.35714285714285715,0.4458147097018379
0,2,male,32.5,1,0,30.0708,C,1,0,0,0.5625,0.18239462547621804
1,2,female,32.5,0,0,13.0,S,0,0,1,0.5625,0.07885158130780806
0,1,male,54.0,0,1,77.2875,S,1,0,1,0.9464285714285714,0.468787814640555
1,3,male,12.0,1,0,11.2417,C,1,0,0,0.19642857142857142,0.0681866016606143
0,3,male,24.0,0,0,7.75,Q,1,1,0,0.4107142857142857,0.0470076734719625
1,3,male,24.0,0,0,7.1417,S,1,0,1,0.4107142857142857,0.04331802601738253
1,3,female,24.0,1,1,22.3583,C,0,0,0,0.4107142857142857,0.1356144084887973
0,3,male,45.0,0,0,6.975,S,1,0,1,0.7857142857142857,0.042306906124766244
0,3,male,33.0,0,0,7.8958,C,1,0,0,0.5714285714285714,0.04789202428386084
0,3,male,20.0,0,0,7.05,S,1,0,1,0.3392857142857143,0.042761819093849754
0,3,female,47.0,1,0,14.5,S,0,0,1,0.8214285714285714,0.08794984068947823
0,2,male,25.0,0,0,13.0,S,1,0,1,0.42857142857142855,0.07885158130780806
0,2,male,23.0,0,0,15.0458,C,1,0,0,0.39285714285714285,0.09126039400315528
1,1,female,19.0,0,2,26.2833,S,0,0,1,0.32142857142857145,0.1594215205375009
0,1,male,37.0,1,0,53.1,S,1,0,1,0.6428571428571429,0.3220783821111237
0,3,male,16.0,0,0,9.2167,S,1,0,1,0.26785714285714285,0.05590395149535958
0,1,male,24.0,0,0,79.2,C,1,0,0,0.4107142857142857,0.4803880953521845
0,3,female,24.0,0,2,15.2458,C,0,0,0,0.4107142857142857,0.09247349525404462
1,3,female,22.0,0,0,7.75,S,0,0,1,0.375,0.0470076734719625
1,3,female,24.0,1,0,15.85,S,0,0,1,0.4107142857142857,0.09613827413298137
0,3,male,19.0,0,0,6.75,Q,1,1,0,0.32142857142857145,0.04094216721751572
0,2,male,18.0,0,0,11.5,S,1,0,1,0.30357142857142855,0.0697533219261379
0,2,male,19.0,1,1,36.75,S,1,0,1,0.32142857142857145,0.22290735485091895
1,3,male,27.0,0,0,7.7958,S,1,0,1,0.4642857142857143,0.047285473658416156
0,3,female,9.0,2,2,34.375,S,0,0,1,0.14285714285714285,0.20850177749660787
0,2,male,36.5,0,2,26.0,S,1,0,1,0.6339285714285714,0.15770316261561612
0,2,male,42.0,0,0,13.0,S,1,0,1,0.7321428571428571,0.07885158130780806
0,2,male,51.0,0,0,12.525,S,1,0,1,0.8928571428571429,0.07597046583694585
1,1,female,22.0,1,0,66.6,S,0,0,1,0.375,0.4039627165461551
0,3,male,55.5,0,0,8.05,S,1,0,1,0.9732142857142857,0.048827325348296535
0,3,male,40.5,0,2,14.5,S,1,0,1,0.7053571428571429,0.08794984068947823
0,3,male,24.0,0,0,7.3125,S,1,0,1,0.4107142857142857,0.04435401448564204
0,1,male,51.0,0,1,61.3792,C,1,0,0,0.8928571428571429,0.3722959214929394
1,3,female,16.0,0,0,7.7333,Q,0,1,0,0.26785714285714285,0.04690637951751324
0,3,male,30.0,0,0,8.05,S,1,0,1,0.5178571428571429,0.048827325348296535
0,3,male,24.0,0,0,8.6625,S,1,0,1,0.4107142857142857,0.05254244792914518
0,3,male,44.0,0,1,16.1,S,1,0,1,0.7678571428571429,0.09765465069659307
1,2,female,40.0,0,0,15.75,S,0,0,1,0.6964285714285714,0.09553172350753669
0,3,male,26.0,0,0,7.775,S,1,0,1,0.44642857142857145,0.04715931112832367
0,3,male,17.0,0,0,8.6625,S,1,0,1,0.2857142857142857,0.05254244792914518
0,3,male,1.0,4,1,39.6875,S,1,0,1,0.0,0.24072477947335635
1,3,male,9.0,0,2,20.525,S,1,0,1,0.14285714285714285,0.12449451587252003
1,1,female,24.0,0,1,55.0,S,0,0,1,0.4107142857142857,0.3336028439945726
0,1,male,24.0,0,0,25.925,S,1,0,1,0.4107142857142857,0.1572482496465326
0,3,male,28.0,0,0,56.4958,S,1,0,1,0.48214285714285715,0.34267562824997405
0,3,male,4.0,4,1,29.125,Q,1,1,0,0.05357142857142857,0.1766578696607623
1,3,female,1.0,1,1,11.1333,S,0,0,1,0.0,0.06752910078263227
0,1,male,56.0,0,0,30.6958,C,1,0,0,0.9821428571428571,0.18618556688524726
0,3,male,18.0,1,1,7.8542,S,1,0,1,0.30357142857142855,0.04763969922367585
0,3,male,24.0,3,1,25.4667,S,1,0,1,0.4107142857142857,0.15446842813011966
0,1,female,50.0,0,0,28.7125,C,0,0,0,0.875,0.174155848330803
0,2,male,30.0,0,0,13.0,S,1,0,1,0.5178571428571429,0.07885158130780806
0,3,male,36.0,0,0,0.0,S,1,0,1,0.625,0.0
0,2,male,24.0,0,0,15.05,C,1,0,0,0.4107142857142857,0.09128586912942395
0,3,male,9.0,4,2,31.3875,S,1,0,1,0.14285714285714285,0.19038107756144812
1,2,male,1.0,2,1,39.0,S,1,0,1,0.0,0.23655474392342418
1,3,female,4.0,0,2,22.025,S,0,0,1,0.05357142857142857,0.1335927752541902
0,1,male,24.0,0,0,50.0,S,1,0,1,0.4107142857142857,0.3032753127223387
1,3,female,24.0,1,0,15.5,Q,0,1,0,0.4107142857142857,0.094015346943925
1,1,male,45.0,0,0,26.55,S,1,0,1,0.7857142857142857,0.16103919105556186
0,3,male,40.0,1,1,15.5,Q,1,1,0,0.6964285714285714,0.094015346943925
0,3,male,36.0,0,0,7.8958,S,1,0,1,0.625,0.04789202428386084
1,2,female,32.0,0,0,13.0,S,0,0,1,0.5535714285714286,0.07885158130780806
0,2,male,19.0,0,0,13.0,S,1,0,1,0.32142857142857145,0.07885158130780806
1,3,female,19.0,1,0,7.8542,S,0,0,1,0.32142857142857145,0.04763969922367585
1,2,male,3.0,1,1,26.0,S,1,0,1,0.03571428571428571,0.15770316261561612
1,1,female,44.0,0,0,27.7208,C,0,0,0,0.7678571428571429,0.16814068577826813
0,3,male,42.0,0,1,8.4042,S,1,0,1,0.7321428571428571,0.05097572766362157
0,2,female,24.0,0,0,13.0,S,0,0,1,0.4107142857142857,0.07885158130780806
0,3,male,28.0,0,0,9.5,S,1,0,1,0.48214285714285715,0.057622309417244354
0,3,male,34.0,0,0,6.4958,S,1,0,1,0.5892857142857143,0.03940031552763536
0,3,male,45.5,0,0,7.225,C,1,0,0,0.7946428571428571,0.04382328268837794
1,3,male,18.0,0,0,8.05,S,1,0,1,0.30357142857142855,0.048827325348296535
0,3,female,2.0,0,1,10.4625,S,0,0,1,0.017857142857142856,0.06346035918714937
0,3,male,32.0,1,0,15.85,S,1,0,1,0.5535714285714286,0.09613827413298137
1,3,male,26.0,0,0,18.7875,C,1,0,0,0.44642857142857145,0.11395569875541878
1,3,female,16.0,0,0,7.75,Q,0,1,0,0.26785714285714285,0.0470076734719625
1,1,male,40.0,0,0,31.0,C,1,0,0,0.6964285714285714,0.18803069388785
0,3,male,24.0,0,0,7.05,S,1,0,1,0.4107142857142857,0.042761819093849754
1,2,female,35.0,0,0,21.0,S,0,0,1,0.6071428571428571,0.12737563134338226
0,3,male,22.0,0,0,7.25,S,1,0,1,0.375,0.04397492034473911
0,3,male,24.0,1,0,7.75,Q,1,1,0,0.4107142857142857,0.0470076734719625
1,1,female,31.0,1,0,113.275,C,0,0,0,0.5357142857142857,0.6870702209724584
1,3,female,27.0,0,0,7.925,S,0,0,1,0.4642857142857143,0.048069137066490686
0,2,male,42.0,1,0,27.0,S,1,0,1,0.7321428571428571,0.1637686688700629
1,1,female,32.0,0,0,76.2917,C,0,0,0,0.5535714285714286,0.462747783512377
0,2,male,30.0,0,0,10.5,S,1,0,1,0.5178571428571429,0.06368781567169113
1,3,male,16.0,0,0,8.05,S,1,0,1,0.26785714285714285,0.048827325348296535
0,2,male,27.0,0,0,13.0,S,1,0,1,0.4642857142857143,0.07885158130780806
0,3,male,51.0,0,0,8.05,S,1,0,1,0.8928571428571429,0.048827325348296535
1,1,male,38.0,1,0,90.0,S,1,0,1,0.6607142857142857,0.5458955629002097
0,3,male,22.0,0,0,9.35,S,1,0,1,0.375,0.056712483479077334
1,2,male,19.0,0,0,10.5,S,1,0,1,0.32142857142857145,0.06368781567169113
0,3,male,20.5,0,0,7.25,S,1,0,1,0.3482142857142857,0.04397492034473911
0,2,male,18.0,0,0,13.0,S,1,0,1,0.30357142857142855,0.07885158130780806
0,3,female,24.0,3,1,25.4667,S,0,0,1,0.4107142857142857,0.15446842813011966
1,1,female,35.0,1,0,83.475,S,0,0,1,0.6071428571428571,0.5063181345899445
0,3,male,29.0,0,0,7.775,S,1,0,1,0.5,0.04715931112832367
1,3,female,5.0,4,2,31.3875,S,0,0,1,0.07142857142857142,0.19038107756144812
0,2,male,24.0,0,0,10.5,S,1,0,1,0.4107142857142857,0.06368781567169113
0,3,female,24.0,0,0,7.55,S,0,0,1,0.4107142857142857,0.045794572221073145
0,2,male,44.0,1,0,26.0,S,1,0,1,0.7678571428571429,0.15770316261561612
1,2,female,8.0,0,2,26.25,S,0,0,1,0.125,0.15921953917922782
0,2,male,19.0,0,0,10.5,S,1,0,1,0.32142857142857145,0.06368781567169113
0,2,male,33.0,0,0,12.275,S,1,0,1,0.5714285714285714,0.07445408927333415
0,3,female,24.0,1,0,14.4542,C,0,0,0,0.4107142857142857,0.08767204050302456
0,2,male,29.0,0,0,10.5,S,1,0,1,0.5,0.06368781567169113
0,3,male,22.0,0,0,7.125,S,1,0,1,0.375,0.043216732062933264
0,3,male,30.0,0,0,7.225,C,1,0,0,0.5178571428571429,0.04382328268837794
0,1,male,44.0,2,0,90.0,Q,1,1,0,0.7678571428571429,0.5458955629002097
0,3,female,25.0,0,0,7.775,S,0,0,1,0.42857142857142855,0.04715931112832367
1,2,female,24.0,0,2,14.5,S,0,0,1,0.4107142857142857,0.08794984068947823
1,1,male,37.0,1,1,52.5542,S,1,0,1,0.6428571428571429,0.31876782879744664
0,2,male,54.0,1,0,26.0,S,1,0,1,0.9464285714285714,0.15770316261561612
0,3,male,24.0,0,0,7.25,S,1,0,1,0.4107142857142857,0.04397492034473911
0,3,female,29.0,1,1,10.4625,S,0,0,1,0.5,0.06346035918714937
0,3,male,30.0,1,0,16.1,S,1,0,1,0.5178571428571429,0.09765465069659307
0,3,female,41.0,0,2,20.2125,S,0,0,1,0.7142857142857143,0.1225990451680054
1,3,female,29.0,0,2,15.2458,C,0,0,0,0.5,0.09247349525404462
1,1,female,24.0,0,0,79.2,C,0,0,0,0.4107142857142857,0.4803880953521845
1,1,female,30.0,0,0,86.5,S,0,0,1,0.5178571428571429,0.5246662910096459
1,2,female,50.0,0,1,26.0,S,0,0,1,0.875,0.15770316261561612
1,3,male,3.0,4,2,31.3875,S,1,0,1,0.03571428571428571,0.19038107756144812
0,1,male,52.0,1,1,79.65,S,1,0,1,0.9107142857142857,0.4831175731666856
0,1,male,40.0,0,0,0.0,S,1,0,1,0.6964285714285714,0.0
0,3,female,24.0,0,0,7.75,Q,0,1,0,0.4107142857142857,0.0470076734719625
0,2,male,36.0,0,0,10.5,S,1,0,1,0.625,0.06368781567169113
0,3,male,16.0,4,1,39.6875,S,1,0,1,0.26785714285714285,0.24072477947335635
1,3,male,25.0,1,0,7.775,S,1,0,1,0.42857142857142855,0.04715931112832367
1,1,female,35.0,0,0,135.6333,S,0,0,1,0.6071428571428571,0.8226846294612555
0,1,male,24.0,0,0,31.0,S,1,0,1,0.4107142857142857,0.18803069388785
1,3,male,25.0,0,0,0.0,S,1,0,1,0.42857142857142855,0.0
1,2,female,41.0,0,1,19.5,S,0,0,1,0.7142857142857143,0.11827737196171209
0,1,male,37.0,0,1,29.7,C,1,0,0,0.6428571428571429,0.18014553575706918
0,3,female,45.0,0,0,7.75,S,0,0,1,0.7857142857142857,0.0470076734719625
0,2,male,24.0,0,0,0.0,S,1,0,1,0.4107142857142857,0.0
0,3,male,7.0,4,1,29.125,Q,1,1,0,0.10714285714285714,0.1766578696607623
1,3,female,35.0,1,1,20.25,S,0,0,1,0.6071428571428571,0.12282650165254717
0,3,male,28.0,0,0,7.8542,S,1,0,1,0.48214285714285715,0.04763969922367585
0,3,male,16.0,0,0,9.5,S,1,0,1,0.26785714285714285,0.057622309417244354
1,3,male,19.0,0,0,8.05,S,1,0,1,0.32142857142857145,0.048827325348296535
0,1,male,24.0,0,0,26.0,S,1,0,1,0.4107142857142857,0.15770316261561612
0,3,male,33.0,0,0,8.6625,C,1,0,0,0.5714285714285714,0.05254244792914518
1,3,male,30.0,0,0,9.5,S,1,0,1,0.5178571428571429,0.057622309417244354
0,3,male,22.0,0,0,7.8958,S,1,0,1,0.375,0.04789202428386084
1,2,male,42.0,0,0,13.0,S,1,0,1,0.7321428571428571,0.07885158130780806
1,3,female,22.0,0,0,7.75,Q,0,1,0,0.375,0.0470076734719625
1,1,female,26.0,0,0,78.85,S,0,0,1,0.44642857142857145,0.4782651681631281
1,1,female,19.0,1,0,91.0792,C,0,0,0,0.32142857142857145,0.5524414572500086
0,2,male,36.0,0,0,12.875,C,1,0,0,0.625,0.07809339302600221
0,3,female,24.0,0,0,8.85,S,0,0,1,0.4107142857142857,0.05367973035185395
0,3,male,24.0,0,0,7.8958,S,1,0,1,0.4107142857142857,0.04789202428386084
0,3,male,23.5,0,0,7.2292,C,1,0,0,0.4017857142857143,0.043848757814646616
0,1,female,2.0,1,2,151.55,S,0,0,1,0.017857142857142856,0.9192274728614087
1,1,male,24.0,0,0,30.5,S,1,0,1,0.4107142857142857,0.18499794076062662
1,3,male,24.0,2,0,23.25,Q,1,1,0,0.4107142857142857,0.1410230204158875
0,3,male,19.0,0,0,0.0,S,1,0,1,0.32142857142857145,0.0
1,2,female,24.0,0,0,12.35,Q,0,1,0,0.4107142857142857,0.07490900224241766
1,1,female,24.0,0,0,110.8833,C,0,0,0,0.4107142857142857,0.672563349663698
1,1,female,17.0,1,0,108.9,C,0,0,0,0.2857142857142857,0.6605336311092537
0,2,male,30.0,1,0,24.0,C,1,0,0,0.5178571428571429,0.1455721501067226
1,1,female,30.0,0,0,56.9292,C,0,0,0,0.5178571428571429,0.3453044186606513
1,1,female,24.0,0,0,83.1583,C,0,0,0,0.4107142857142857,0.5043971887591612
0,2,female,26.0,1,1,26.0,S,0,0,1,0.44642857142857145,0.15770316261561612
0,2,male,43.0,1,1,26.25,S,1,0,1,0.75,0.15921953917922782
1,3,female,26.0,0,0,7.8542,S,0,0,1,0.44642857142857145,0.04763969922367585
1,2,female,24.0,1,0,26.0,S,0,0,1,0.4107142857142857,0.15770316261561612
0,2,male,54.0,0,0,14.0,S,1,0,1,0.9464285714285714,0.08491708756225484
1,1,female,31.0,0,2,164.8667,S,0,0,1,0.5357142857142857,1.0
1,1,female,40.0,1,1,134.5,C,0,0,0,0.6964285714285714,0.8158105912230911
0,3,male,27.0,0,0,7.8958,S,1,0,1,0.4642857142857143,0.04789202428386084
1,2,female,30.0,0,0,12.35,Q,0,1,0,0.5178571428571429,0.07490900224241766
1,2,female,22.0,1,1,29.0,S,0,0,1,0.375,0.17589968137895645
1,1,female,36.0,0,0,135.6333,C,0,0,0,0.625,0.8226846294612555
1,2,female,36.0,0,0,13.0,S,0,0,1,0.625,0.07885158130780806
1,3,female,31.0,1,1,20.525,S,0,0,1,0.5357142857142857,0.12449451587252003
1,1,female,16.0,0,1,57.9792,C,0,0,0,0.26785714285714285,0.3516732002278204
1,3,female,24.0,2,0,23.25,Q,0,1,0,0.4107142857142857,0.1410230204158875
0,1,male,45.5,0,0,28.5,S,1,0,1,0.7946428571428571,0.17286692825173305
0,1,male,38.0,0,1,153.4625,S,1,0,1,0.6607142857142857,0.930827753573038
0,3,male,16.0,2,0,18.0,S,1,0,1,0.26785714285714285,0.10917911258004193
1,1,female,24.0,1,0,133.65,S,0,0,1,0.4107142857142857,0.8106549109068114
0,1,male,29.0,1,0,66.6,S,1,0,1,0.5,0.4039627165461551
1,1,female,41.0,0,0,134.5,C,0,0,0,0.7142857142857143,0.8158105912230911
1,3,male,45.0,0,0,8.05,S,1,0,1,0.7857142857142857,0.048827325348296535
0,1,male,45.0,0,0,35.5,S,1,0,1,0.7857142857142857,0.21532547203286048
1,2,male,2.0,1,1,26.0,S,1,0,1,0.017857142857142856,0.15770316261561612
0,2,male,28.0,0,0,13.0,S,1,0,1,0.48214285714285715,0.07885158130780806
0,2,male,36.0,0,0,13.0,S,1,0,1,0.625,0.07885158130780806
1,2,female,24.0,0,0,13.0,S,0,0,1,0.4107142857142857,0.07885158130780806
1,2,female,40.0,0,0,13.0,S,0,0,1,0.6964285714285714,0.07885158130780806
1,3,female,24.0,1,0,16.1,S,0,0,1,0.4107142857142857,0.09765465069659307
1,3,male,3.0,1,1,15.9,S,1,0,1,0.03571428571428571,0.09644154944570371
0,3,male,42.0,0,0,8.6625,S,1,0,1,0.7321428571428571,0.05254244792914518
0,3,male,23.0,0,0,9.225,S,1,0,1,0.39285714285714285,0.055954295197271485
0,1,male,24.0,0,0,35.0,S,1,0,1,0.4107142857142857,0.21229271890563708
0,3,male,15.0,1,1,7.2292,C,1,0,0,0.25,0.043848757814646616
0,3,male,25.0,1,0,17.8,S,1,0,1,0.42857142857142855,0.10796601132915258
1,1,female,22.0,0,1,55.0,S,0,0,1,0.375,0.3336028439945726
0,2,female,38.0,0,0,13.0,S,0,0,1,0.6607142857142857,0.07885158130780806
0,2,male,29.0,1,0,27.7208,C,1,0,0,0.5,0.16814068577826813
0,3,female,45.0,0,1,14.4542,C,0,0,0,0.7857142857142857,0.08767204050302456
0,3,male,35.0,0,0,7.05,S,1,0,1,0.6071428571428571,0.042761819093849754
0,3,male,30.0,0,0,7.25,S,1,0,1,0.5178571428571429,0.04397492034473911
1,3,female,24.0,0,0,7.2292,C,0,0,0,0.4107142857142857,0.043848757814646616
1,1,female,24.0,0,0,69.3,C,0,0,0,0.4107142857142857,0.4203395834331614
1,1,male,25.0,1,0,55.4417,C,1,0,0,0.42857142857142855,0.3362819781071617
0,3,male,18.0,1,0,6.4958,S,1,0,1,0.30357142857142855,0.03940031552763536
0,3,male,19.0,0,0,8.05,S,1,0,1,0.32142857142857145,0.048827325348296535
0,1,male,22.0,0,0,135.6333,C,1,0,0,0.375,0.8226846294612555
0,3,female,3.0,3,1,21.075,S,0,0,1,0.03571428571428571,0.12783054431246577
1,1,female,24.0,1,0,82.1708,C,0,0,0,0.4107142857142857,0.49840750133289496
1,3,female,22.0,0,0,7.25,S,0,0,1,0.375,0.04397492034473911
0,3,male,20.0,0,0,4.0125,C,1,0,0,0.3392857142857143,0.024337843845967683
0,3,male,19.0,0,0,7.775,S,1,0,1,0.32142857142857145,0.04715931112832367
1,3,female,1.0,0,2,15.7417,C,0,0,0,0.0,0.09548137980562478
0,3,male,32.0,0,0,7.925,S,1,0,1,0.5535714285714286,0.048069137066490686
1,1,female,35.0,1,0,52.0,S,0,0,1,0.6071428571428571,0.31540632523123224
